provision_id,manual_title,manual_year,chapter_number,chapter_title,section_number,section_title,page_number,paragraph_sequence,source_text_ar,normalized_rule_ar,rule_subject,rule_object,trigger,preconditions,required_conditions,prohibitions,exceptions,alternative_path,effect,failure_effect,responsible_actor,affected_actor,timing,duration,unit,formula,rounding_rule,evidence_level,interpretation_confidence,interpretation_status,notes
JEA-TM2025-BOOK2-P232-002,كتاب التعليمات الفنية,2025,,الباب الثاني — متطلبات الحد الأدنى للمخططات,,احتساب اعماق الآبار السبرية للمشاريع >15 طابق,232,002,"اعتماد حد بئر سبري واحد لكل (200)م² أو جزء منها","للمشاريع >15 طابق: بئر سبري واحد لكل 200 م² أو جزء منها",survey-office,high-rise-borehole-density,high-rise-drilling,floor_count>15,1-borehole-per-200-m2-of-floor-area-or-part,none,none,none,borehole-count-set,under-drilling,survey-office,survey-office,at-drilling-planning,,boreholes,extra_boreholes=ceil(floor_area/200),CEILING_IMPLIED_BY_'أو جزء منها',DIRECT,HIGH,CONFIRMED,"High-rise borehole density rule. CEILING explicit."
JEA-TM2025-BOOK2-P239-001,كتاب التعليمات الفنية,2025,,الباب الثاني — متطلبات الحد الأدنى للمخططات,3.أ,تقارير استطلاع الموقع للأبنية القائمة — الدراسة المطلوبة,239,001,"يجب تقديم دراسة للبناء القائم لجميع مناطق المملكة وحسب التعليمات السارية واعتماداً على المخطط التنظيمي","دراسة للبناء القائم إلزامية في جميع مناطق المملكة (وفق التعليمات + المخطط التنظيمي)",owner-and-office,existing-building-study,building-is-existing,building-classified-as-existing,submission-of-study-for-existing-building,none,none,none,study-required,study-missing-blocks-progress,office,office-and-JEA,before-plan-approval,,-,-,-,DIRECT,HIGH,CONFIRMED,"SRV-002 baseline applicability rule. Applies to all Kingdom regions."
JEA-TM2025-BOOK2-P239-002,كتاب التعليمات الفنية,2025,,الباب الثاني — متطلبات الحد الأدنى للمخططات,3.أ,تقارير استطلاع الموقع للأبنية القائمة — الدراسة المطلوبة,239,002,"تقديم عقد استطلاع موقع لبناء قائم بعدد الأبار والأعماق وكما يعامل المبنى المقترح حالياً","عقد استطلاع موقع للبناء القائم بعدد الأبار والأعماق كما يُعامَل المبنى المقترح",owner-and-survey-office,existing-building-baseline,existing-building-study,study-being-prepared,use-proposed-building-baseline-for-well-count-and-depths,none,none,none,baseline-set,mis-sizing,office-and-survey-office,office,at-study-preparation,,-,baseline=proposed_building_matrix,-,DIRECT,HIGH,CONFIRMED,"CRITICAL / Case B: PROPOSED-BUILDING MATRIX is the BASELINE for existing-building surveys. This is the source rule for the 2/3 test-pit + 1/3 borehole derivation. Applies to SRV-002."
JEA-TM2025-BOOK2-P239-003,كتاب التعليمات الفنية,2025,,الباب الثاني — متطلبات الحد الأدنى للمخططات,3.أ,تقارير استطلاع الموقع للأبنية القائمة — الدراسة المطلوبة,239,003,"عمل حفر تجريبية بعدد ثلثي الآبار السبرية للأبنية المقترحة وحسب المساحة وعدد الطوابق","عدد الحفر التجريبية = 2/3 × عدد الآبار السبرية للأبنية المقترحة (وفق المساحة وعدد الطوابق)",survey-office,test-pit-count,existing-building-study,proposed_building_baseline_established,test_pit_count = two_thirds * proposed_baseline_borehole_count,none,none,none,test-pit-count-derived,mis-sizing,survey-office,survey-office,at-study-preparation,,pits,test_pit_count=2/3*baseline,ROUNDING_UNRESOLVED,DIRECT,HIGH,CONFIRMED_WITH_CONDITION,"CRITICAL / Case B: 2/3 rule. Rounding NOT specified. Unlike p.231-002/003 which use 'أو جزء منها' (CEILING), this rule uses raw fraction. NEEDS_JEA_CONFIRMATION for rounding."
JEA-TM2025-BOOK2-P239-004,كتاب التعليمات الفنية,2025,,الباب الثاني — متطلبات الحد الأدنى للمخططات,3.أ,تقارير استطلاع الموقع للأبنية القائمة — الدراسة المطلوبة,239,004,"حفر آبار سبرية بعدد ثلث الآبار السبرية للأبنية المقترحة وحسب المساحة وعدد الطوابق واذا تعذر ذلك يستعاض عنها بحفر تجريبية اضافية","عدد الآبار السبرية = 1/3 × عدد الآبار للمقترحة؛ إذا تعذر حفرها → استبدال بحفر تجريبية إضافية",survey-office,borehole-count,existing-building-study,proposed_building_baseline_established,borehole_count = one_third * proposed_baseline_borehole_count,none,drilling-blocked-substitute-with-extra-test-pits,extra-test-pits-substitute,borehole-count-derived,mis-sizing,survey-office,survey-office,at-study-preparation,,boreholes,borehole_count=1/3*baseline,ROUNDING_UNRESOLVED,DIRECT,HIGH,CONFIRMED_WITH_CONDITION,"CRITICAL / Case B: 1/3 rule + substitution when access is impossible. Rounding NOT specified. Applies to SRV-002."
JEA-TM2025-BOOK2-P239-005,كتاب التعليمات الفنية,2025,,الباب الثاني — متطلبات الحد الأدنى للمخططات,3.أ,تقارير استطلاع الموقع للأبنية القائمة — الدراسة المطلوبة,239,005,"الغرض من حفر الابار السبرية هو لمعرفة المواد الطبيعية تحت منسوب التأسيس","الغرض من الآبار السبرية للأبنية القائمة: معرفة المواد الطبيعية تحت منسوب التأسيس",survey-office,borehole-purpose,drilling,drilling-boreholes-for-existing-building,identify-natural-materials-below-foundation-level,none,none,none,purpose-documented,scope-question,survey-office,survey-office,at-drilling,,-,-,-,REFERENCE_ONLY,HIGH,CONFIRMED,"Descriptive rule — no direct executable effect."
JEA-TM2025-BOOK2-P239-006,كتاب التعليمات الفنية,2025,,الباب الثاني — متطلبات الحد الأدنى للمخططات,3.أ,تقارير استطلاع الموقع للأبنية القائمة — الدراسة المطلوبة,239,006,"الكشف من قبل النقابة على الموقع","الكشف من قبل النقابة على الموقع",JEA,site-inspection,existing-building-study,study-in-progress,JEA-conducts-site-inspection,none,none,none,inspection-recorded,workflow-blocked,JEA,office,at-study-review,,-,-,-,WORKFLOW_CONDITION,HIGH,CONFIRMED,"JEA site inspection is a distinct workflow stage for SRV-002 (over and above the auditor review). Existing repo: SurveyWorkflowsSeeder soilExistingWorkflow does not explicitly model a JEA site-inspection stage."
JEA-TM2025-BOOK2-P239-007,كتاب التعليمات الفنية,2025,,الباب الثاني — متطلبات الحد الأدنى للمخططات,3.ب,تقارير استطلاع الموقع للأبنية القائمة — الدراسات الإنشائية المطلوبة والفحوصات الأساسية,239,007,"في حال ترخيص أبنية قائمة، أو اضافة ابنية مقترحة فوق قائمة، أو تغير صفة الاستعمال فبالإضافة للدراسة المطلوبة في أعلاه يتم ما يلي: (1) الكشف الحسي على المبنى القائم لتحديد أية مشاكل إنشائية (تشققات، هبوط، انتفاخ، ...) وأية مشاكل في ديمومة الخرسانة (صدأ حديد التسليح، تآكل الخرسانة، ...)","في حالات LICENSING_EXISTING أو ADDITION_ABOVE_EXISTING أو CHANGE_OF_USE: يُضاف الكشف الحسي على المبنى القائم لتحديد المشاكل الإنشائية (تشققات + هبوط + انتفاخ) والديمومة (صدأ حديد + تآكل خرسانة)",office,sensory-inspection,special-case,building_case in {LICENSING_EXISTING, ADDITION_ABOVE_EXISTING, CHANGE_OF_USE},sensory-inspection-report-added,none,plain-existing-unlicensed-case-does-not-trigger-this,none,inspection-report-required,application-blocked,office,office-and-JEA,at-study-preparation,,-,-,-,CONDITIONAL_DOCUMENT,HIGH,CONFIRMED,"CRITICAL / Case B: §ب additional inspection triggered by 3 sub-cases. Note: ADDITION_ABOVE_EXISTING may be SRV-010 (survey re-approval with additions) rather than SRV-002. NEEDS_JEA_CONFIRMATION."
JEA-TM2025-BOOK2-P239-008,كتاب التعليمات الفنية,2025,,الباب الثاني — متطلبات الحد الأدنى للمخططات,3.ب,تقارير استطلاع الموقع للأبنية القائمة — الدراسات الإنشائية المطلوبة والفحوصات الأساسية,239,008,"(2) الكشف على الأساسات القائمة لتحديد (عمق الأساس + طبقة التأسيس + أبعاد الأساس + خصائص تربة التأسيس + نسبة الرطوبة وتسرب مياه + نوعية تربة الأساس وخصائصها الفيزيائية والميكانيكية والكيميائية + قوة الخرسانة في الأساس بعينات لبية)","الكشف على الأساسات القائمة: عمق الأساس + طبقة التأسيس + أبعاد الأساس + خصائص التربة + الرطوبة + تسرب مياه + النوعية الفيزيائية/الميكانيكية/الكيميائية + قوة الخرسانة (عينات لبية)",office,foundation-inspection,special-case,building_case in {LICENSING_EXISTING, ADDITION_ABOVE_EXISTING, CHANGE_OF_USE},foundation-inspection-report-added,none,plain-existing-unlicensed-case-does-not-trigger-this,none,foundation-report-required,application-blocked,office,office-and-JEA,at-study-preparation,,-,-,-,CONDITIONAL_DOCUMENT,HIGH,CONFIRMED,"Second §ب addition — foundation inspection with 6 required content items. Distinct from p.239-007."
JEA-TM2025-BOOK2-P240-001,كتاب التعليمات الفنية,2025,,الباب الثاني — متطلبات الحد الأدنى للمخططات,3.ب,تقارير استطلاع الموقع للأبنية القائمة — دراسات إنشائية إضافية,240,001,"(3) تحديد نوعية طبقات ما تحت الأساس وقوة تحمل تربة التأسيس — حفر آبار سبرية حسب متطلبات وتعليمات النقابة بخصوص متطلبات دراسة استطلاع الموقع ان امكن وصول اليات الحفر","تحديد طبقات تحت الأساس + قوة تحمل التربة — حفر آبار سبرية حسب متطلبات النقابة إن أمكن الوصول",office,sub-foundation-drilling,special-case,building_case in {LICENSING_EXISTING, ADDITION_ABOVE_EXISTING, CHANGE_OF_USE} AND drilling-access-possible,drill-boreholes-per-code,none,drilling-access-blocked,none,sub-foundation-data-recorded,data-missing,office-and-survey-office,office,at-study-preparation,,-,-,-,CONDITIONAL_DOCUMENT,HIGH,CONFIRMED,"Sub-foundation drilling — conditional on access. Cross-references access-blocked path from p.037-004."
JEA-TM2025-BOOK2-P240-002,كتاب التعليمات الفنية,2025,,الباب الثاني — متطلبات الحد الأدنى للمخططات,3.ب,تقارير استطلاع الموقع للأبنية القائمة — دراسات إنشائية إضافية,240,002,"(4) تحديد أبعاد العناصر الإنشائية الرئيسية (أعمدة جسور جدران عقدات) وعمل مخططات انشائية تمثل واقع الحال قدر الإمكان","تحديد أبعاد العناصر الإنشائية الرئيسية + مخططات إنشائية تمثل الواقع",office,structural-elements-mapping,special-case,building_case_triggers,dimension-columns-beams-walls-slabs-and-produce-as-built-drawings,none,none,none,as-built-drawings-produced,inaccurate-record,office,office,at-study-preparation,,-,-,-,CONDITIONAL_DOCUMENT,HIGH,CONFIRMED,"as-built structural drawings — SRV-002 conditional deliverable in §ب path."
JEA-TM2025-BOOK2-P240-003,كتاب التعليمات الفنية,2025,,الباب الثاني — متطلبات الحد الأدنى للمخططات,3.ب,تقارير استطلاع الموقع للأبنية القائمة — دراسات إنشائية إضافية,240,003,"(5) تحديد قوة تحمل خرسانة العناصر الإنشائية الرئيسية (عينات لبية) بالعدد المقترح حسب التعليمات السارية","قوة تحمل خرسانة العناصر (عينات لبية) بالعدد المقترح حسب التعليمات",office,concrete-strength-test,special-case,building_case_triggers,concrete-core-tests-per-instructions,none,none,none,concrete-strength-recorded,strength-unknown,office-and-materials-testing-office,office,at-study-preparation,,-,cores_per_instructions,-,CONDITIONAL_DOCUMENT,HIGH,CONFIRMED,"Concrete core testing — cross-service link to SRV-008 or SRV-009 (materials testing)."
JEA-TM2025-BOOK2-P240-004,كتاب التعليمات الفنية,2025,,الباب الثاني — متطلبات الحد الأدنى للمخططات,3.ب,تقارير استطلاع الموقع للأبنية القائمة — دراسات إنشائية إضافية,240,004,"(6) تحديد مقاطع تسليح بعض العناصر الإنشائية (عدد وأقطار وتوزيع حديد التسليح) للعناصر الممثلة وبالعدد المقترح حسب كودات البناء الوطني","مقاطع التسليح (عدد + أقطار + توزيع) للعناصر الممثلة حسب كود البناء الوطني",office,reinforcement-mapping,special-case,building_case_triggers,rebar-cross-sections-per-national-code,none,none,none,rebar-recorded,rebar-unknown,office,office,at-study-preparation,,-,-,-,CONDITIONAL_DOCUMENT,HIGH,CONFIRMED,"Rebar cross-sections — technical content requirement."
JEA-TM2025-BOOK2-P240-005,كتاب التعليمات الفنية,2025,,الباب الثاني — متطلبات الحد الأدنى للمخططات,3.ب,تقارير استطلاع الموقع للأبنية القائمة — دراسات إنشائية إضافية,240,005,"(7) تقديم تقرير فني بنتائج الفحوصات ليتم الإستفادة منه في التحليل الإنشائي ويتضمن كافة التوصيات","تقرير فني بنتائج الفحوصات + توصيات",office,technical-report-with-recommendations,special-case,building_case_triggers,submission-of-technical-report-with-test-results-and-recommendations,none,none,none,technical-report-recorded,application-blocked,office,office-and-JEA,at-study-completion,,-,-,-,CONDITIONAL_DOCUMENT,HIGH,CONFIRMED,"Structural technical report — the §ب item 7 deliverable."
JEA-TM2025-BOOK2-P240-006,كتاب التعليمات الفنية,2025,,الباب الثاني — متطلبات الحد الأدنى للمخططات,3.ب,تقارير استطلاع الموقع للأبنية القائمة — دراسات إنشائية إضافية,240,006,"(8) يتم تقديم التقرير الى النقابة للتدقيق والمصادقة عليه حسب الاصول","تقديم التقرير للنقابة للتدقيق والمصادقة",office,technical-report-submission,special-case,technical-report-ready,submission-to-JEA,none,none,none,report-enters-audit,application-blocked,office,JEA,at-report-ready,,-,-,-,WORKFLOW_CONDITION,HIGH,CONFIRMED,"Workflow rule — direct submission to JEA."
JEA-TM2025-BOOK2-P240-007,كتاب التعليمات الفنية,2025,,الباب الثاني — متطلبات الحد الأدنى للمخططات,3.ب,تقارير استطلاع الموقع للأبنية القائمة — دراسات إنشائية إضافية,240,007,"(9) مطابقة الدراسة اعلاه مع المخططات ان وجدت وتقديم الدراسة للدائرة الهندسية لإجازتها","مطابقة الدراسة مع المخططات + تقديمها للدائرة الهندسية للإجازة",office-and-JEA,study-plan-matching,special-case,study-and-drawings-both-exist,cross-check-and-submission-to-engineering-department,none,none,none,study-approved,application-blocked,office-and-JEA,office,at-plan-cross-check,,-,-,-,WORKFLOW_CONDITION,HIGH,CONFIRMED,"Cross-check between study and drawings — reviewer verification stage."
JEA-TM2025-BOOK2-P240-008,كتاب التعليمات الفنية,2025,,الباب الثاني — متطلبات الحد الأدنى للمخططات,3.ب,تقارير استطلاع الموقع للأبنية القائمة — دراسات إنشائية إضافية,240,008,"(10) يجب ان تكون الفحوصات المخبرية صادرة من مكتب فحص مواد معتمد فيما يتعلق بالمواد وان يتم تحليل النتائج وإعطاء التوصيات وإصدار تقرير استطلاع الموقع حسب الأصول المتبعة","الفحوصات المخبرية تصدر من مكتب فحص مواد معتمد + تحليل + توصيات + إصدار تقرير الاستطلاع",office-and-materials-office,lab-tests,special-case,laboratory-tests-required,tests-from-JEA-approved-materials-testing-office,tests-from-non-approved-office,none,none,tests-valid,tests-rejected,office-and-materials-office,office-and-JEA,at-tests,,-,-,-,VALIDATION_RULE,HIGH,CONFIRMED,"Cross-service link: SRV-002 references SRV-008/009 (materials-testing office approval). Reviewer verifies office is JEA-approved."
